TransactionID,Amount,Date,Description,PaymentMethod,MerchantName,MerchantCategoryCode,Status,Recurrence,AccountHolderAge,AccountHolderGender,Category
1299,15479.48,2025-09-24,Merchant_72 Rent,UPI,Merchant_72,7841,Pending,Regular,37,Female,Rent
1300,17039.17,2024-12-22,Merchant_37 Rent,Credit Card,Merchant_37,4121,Pending,Recurring,36,Male,Rent
1301,14183.98,2024-12-04,Merchant_70 Utilities,NEFT,Merchant_70,7832,Pending,Regular,51,Female,Utilities
1302,16936.55,2025-04-25,Merchant_57 Education,Credit Card,Merchant_57,6513,Posted,One-time,32,Male,Education
1303,16442.18,2024-11-05,Merchant_14 Dining,NEFT,Merchant_14,4784,Pending,One-time,18,Male,Dining
1304,8488.42,2025-10-06,Merchant_40 Gifts,NEFT,Merchant_40,7841,Posted,One-time,37,Female,Gifts
1305,5793.35,2024-10-24,Merchant_48 Fuel,Debit Card,Merchant_48,4814,Posted,Regular,18,Male,Fuel
1306,11788.73,2025-04-08,Merchant_81 Subscription,Credit Card,Merchant_81,5812,Posted,Recurring,37,Male,Subscription
1307,2912.12,2025-07-12,Merchant_57 Transport,Auto-Debit,Merchant_57,4121,Posted,One-time,74,Male,Transport
1308,4731.25,2025-09-10,Merchant_10 Subscription,Auto-Debit,Merchant_10,7832,Posted,Recurring,66,Male,Subscription
1309,15375.57,2025-01-11,Merchant_42 Entertainment,UPI,Merchant_42,5541,Pending,One-time,44,Female,Entertainment
1310,16328.27,2025-06-14,Merchant_50 Transport,Credit Card,Merchant_50,4121,Pending,One-time,29,Male,Transport
1311,6132.52,2025-09-03,Merchant_87 Travel,Auto-Debit,Merchant_87,4121,Posted,Recurring,64,Female,Travel
1312,15560.91,2025-10-13,Merchant_21 Health & Fitness,Auto-Debit,Merchant_21,7997,Pending,One-time,27,Male,Health & Fitness
1313,8363.87,2025-07-08,Merchant_87 Shopping,Debit Card,Merchant_87,5541,Posted,Regular,49,Female,Shopping
1314,13389.84,2025-01-20,Merchant_82 Utilities,NEFT,Merchant_82,4814,Pending,One-time,38,Male,Utilities
1315,7913.26,2025-01-01,Merchant_91 Medical,Auto-Debit,Merchant_91,8299,Posted,Regular,28,Male,Medical
1316,13134,2025-09-16,Merchant_10 Dining,Credit Card,Merchant_10,4784,Pending,Recurring,32,Female,Dining
1317,12608.78,2025-02-01,Merchant_33 Entertainment,Auto-Debit,Merchant_33,7997,Pending,Regular,60,Female,Entertainment
1318,1169.65,2025-08-12,Merchant_62 Insurance,Auto-Debit,Merchant_62,6311,Posted,Regular,25,Male,Insurance
1319,18504.54,2024-12-04,Merchant_54 Health & Fitness,UPI,Merchant_54,7832,Pending,Regular,43,Female,Health & Fitness
1320,1022.63,2024-11-02,Merchant_63 Entertainment,UPI,Merchant_63,5947,Pending,Regular,52,Male,Entertainment
1321,14683.23,2025-05-25,Merchant_42 Entertainment,Auto-Debit,Merchant_42,4784,Posted,One-time,69,Female,Entertainment
1322,1164.89,2025-04-14,Merchant_12 Health & Fitness,Auto-Debit,Merchant_12,4814,Posted,Regular,48,Female,Health & Fitness
1323,875.24,2025-03-01,Merchant_82 Travel,NEFT,Merchant_82,6311,Pending,Regular,55,Female,Travel
1324,1863.09,2025-01-12,Merchant_62 Gifts,Auto-Debit,Merchant_62,7997,Pending,Regular,62,Male,Gifts
1325,19039.39,2024-12-15,Merchant_52 Subscription,Credit Card,Merchant_52,4784,Posted,One-time,35,Female,Subscription
1326,12076.34,2025-05-28,Merchant_4 Fuel,Auto-Debit,Merchant_4,4814,Posted,Regular,39,Female,Fuel
1327,15377.84,2025-07-17,Merchant_20 Insurance,UPI,Merchant_20,5411,Posted,Regular,18,Female,Insurance
1328,8256.24,2025-06-20,Merchant_94 Health & Fitness,Debit Card,Merchant_94,7997,Pending,Regular,45,Male,Health & Fitness
1329,15634.54,2025-08-05,Merchant_55 Rent,NEFT,Merchant_55,4121,Posted,One-time,56,Male,Rent
1330,464.64,2025-06-08,Merchant_94 Subscription,NEFT,Merchant_94,4121,Pending,Recurring,49,Male,Subscription
1331,19741.44,2025-06-19,Merchant_94 Medical,Auto-Debit,Merchant_94,5541,Posted,Recurring,63,Male,Medical
1332,19051.34,2025-06-30,Merchant_24 Entertainment,Debit Card,Merchant_24,5541,Pending,One-time,31,Female,Entertainment
1333,901.53,2025-10-03,Merchant_37 Utilities,Credit Card,Merchant_37,5732,Posted,One-time,46,Female,Utilities
1334,19899.53,2025-06-27,Merchant_69 Transport,NEFT,Merchant_69,7832,Posted,Regular,24,Female,Transport
1335,13775.38,2025-03-11,Merchant_61 Dining,UPI,Merchant_61,5732,Pending,One-time,59,Female,Dining
1336,18646.8,2025-06-18,Merchant_72 Transport,Debit Card,Merchant_72,6311,Posted,One-time,71,Female,Transport
1337,17499.89,2025-09-05,Merchant_8 Medical,Auto-Debit,Merchant_8,4814,Pending,Recurring,47,Male,Medical
1338,5506.65,2024-12-07,Merchant_83 Gifts,UPI,Merchant_83,4814,Posted,One-time,75,Female,Gifts
1339,1022.09,2025-09-24,Merchant_59 Gifts,UPI,Merchant_59,7997,Posted,One-time,23,Female,Gifts
1340,5420.97,2025-01-29,Merchant_91 Medical,Credit Card,Merchant_91,8299,Posted,Recurring,29,Male,Medical
1341,2929.07,2025-06-15,Merchant_71 Travel,UPI,Merchant_71,8011,Posted,One-time,46,Female,Travel
1342,2078.7,2025-04-12,Merchant_87 Gifts,Debit Card,Merchant_87,7997,Pending,One-time,47,Female,Gifts
1343,15096.79,2025-08-24,Merchant_21 Shopping,UPI,Merchant_21,5947,Pending,Regular,70,Male,Shopping
1344,19732.35,2025-07-22,Merchant_60 Dining,UPI,Merchant_60,7997,Pending,Recurring,63,Male,Dining
1345,3128.67,2025-09-05,Merchant_13 Education,Credit Card,Merchant_13,7997,Pending,Recurring,30,Male,Education
1346,830.58,2024-12-07,Merchant_80 Entertainment,Auto-Debit,Merchant_80,5812,Posted,Regular,43,Male,Entertainment
1347,10920.95,2025-05-13,Merchant_38 Entertainment,NEFT,Merchant_38,5947,Pending,Regular,74,Male,Entertainment
1348,15768.25,2025-04-15,Merchant_94 Shopping,NEFT,Merchant_94,4121,Pending,Regular,40,Male,Shopping
1349,4475.81,2025-09-13,Merchant_40 Utilities,NEFT,Merchant_40,5541,Pending,Regular,48,Female,Utilities
1350,7949.9,2025-04-21,Merchant_39 Medical,Credit Card,Merchant_39,4814,Posted,Recurring,34,Female,Medical
1351,11771.52,2025-10-01,Merchant_15 Transport,NEFT,Merchant_15,7997,Pending,Recurring,39,Male,Transport
1352,10530.05,2024-11-23,Merchant_76 Shopping,Auto-Debit,Merchant_76,8011,Pending,One-time,72,Male,Shopping
1353,3012.04,2024-12-02,Merchant_82 Transport,Debit Card,Merchant_82,4121,Posted,Regular,69,Male,Transport
1354,18662.01,2025-06-04,Merchant_16 Shopping,NEFT,Merchant_16,7832,Pending,One-time,70,Female,Shopping
1355,10963.29,2024-11-12,Merchant_5 Groceries,Auto-Debit,Merchant_5,4784,Pending,Recurring,75,Female,Groceries
1356,19458.21,2025-08-31,Merchant_50 Medical,NEFT,Merchant_50,5541,Posted,Regular,48,Female,Medical
1357,11260.35,2025-04-05,Merchant_47 Transport,Auto-Debit,Merchant_47,5411,Pending,One-time,59,Female,Transport
1358,10873.38,2025-01-09,Merchant_45 Health & Fitness,Debit Card,Merchant_45,8299,Posted,Regular,64,Female,Health & Fitness
1359,11147.94,2024-11-09,Merchant_32 Entertainment,Debit Card,Merchant_32,5411,Posted,Recurring,54,Female,Entertainment
1360,5480.59,2025-02-03,Merchant_92 Groceries,NEFT,Merchant_92,6311,Posted,One-time,39,Female,Groceries
1361,19228.76,2025-07-01,Merchant_15 Subscription,Credit Card,Merchant_15,8299,Posted,Recurring,35,Female,Subscription
1362,441.09,2024-12-02,Merchant_59 Entertainment,Credit Card,Merchant_59,5541,Pending,Recurring,66,Male,Entertainment
1363,7373.62,2025-10-08,Merchant_82 Utilities,Credit Card,Merchant_82,8299,Pending,Regular,49,Male,Utilities
1364,2982.1,2025-08-05,Merchant_84 Insurance,UPI,Merchant_84,5732,Pending,Recurring,23,Male,Insurance
1365,3126.6,2025-07-01,Merchant_33 Medical,Auto-Debit,Merchant_33,6513,Pending,Recurring,28,Male,Medical
1366,11881.22,2024-10-29,Merchant_49 Dining,Auto-Debit,Merchant_49,4814,Posted,One-time,72,Male,Dining
1367,12909.25,2024-12-07,Merchant_87 Medical,Credit Card,Merchant_87,7841,Posted,Regular,20,Female,Medical
1368,8054.88,2024-10-28,Merchant_6 Transport,Auto-Debit,Merchant_6,4784,Posted,Regular,66,Male,Transport
1369,459.29,2025-04-30,Merchant_10 Rent,UPI,Merchant_10,4784,Pending,One-time,54,Female,Rent
1370,15091.46,2025-09-01,Merchant_81 Travel,Credit Card,Merchant_81,7832,Pending,Recurring,25,Female,Travel
1371,8324.57,2024-10-27,Merchant_88 Insurance,Debit Card,Merchant_88,4784,Posted,Regular,22,Male,Insurance
1372,634.97,2025-01-15,Merchant_87 Transport,Credit Card,Merchant_87,5812,Pending,One-time,36,Female,Transport
1373,5836.29,2025-09-05,Merchant_75 Medical,Debit Card,Merchant_75,5947,Pending,One-time,50,Female,Medical
1374,4658.32,2025-05-01,Merchant_60 Entertainment,Auto-Debit,Merchant_60,5541,Pending,One-time,58,Male,Entertainment
1375,14495.02,2025-06-26,Merchant_69 Medical,Debit Card,Merchant_69,6311,Pending,Recurring,33,Male,Medical
1376,19853.12,2025-05-05,Merchant_87 Dining,Auto-Debit,Merchant_87,5812,Pending,Recurring,74,Male,Dining
1377,5142.03,2025-09-21,Merchant_9 Shopping,Debit Card,Merchant_9,6311,Posted,Regular,25,Female,Shopping
1378,1670.93,2025-07-22,Merchant_91 Transport,Auto-Debit,Merchant_91,6513,Posted,Recurring,50,Male,Transport
1379,19450.35,2025-03-03,Merchant_23 Insurance,Auto-Debit,Merchant_23,5411,Posted,Recurring,19,Male,Insurance
1380,16749.7,2025-03-01,Merchant_100 Shopping,UPI,Merchant_100,4784,Pending,Regular,41,Male,Shopping
1381,5725.02,2025-08-24,Merchant_31 Health & Fitness,NEFT,Merchant_31,8011,Pending,Recurring,40,Female,Health & Fitness
1382,13300.77,2025-08-19,Merchant_100 Medical,UPI,Merchant_100,5947,Posted,One-time,23,Female,Medical
1383,19609.79,2025-06-07,Merchant_54 Utilities,Auto-Debit,Merchant_54,6311,Posted,One-time,70,Male,Utilities
1384,15647.85,2025-07-24,Merchant_35 Subscription,Credit Card,Merchant_35,5947,Pending,One-time,31,Female,Subscription
1385,10218.56,2025-06-17,Merchant_20 Fuel,Credit Card,Merchant_20,5947,Posted,Regular,39,Male,Fuel
1386,1322.17,2025-03-01,Merchant_44 Groceries,Auto-Debit,Merchant_44,6513,Posted,Recurring,30,Male,Groceries
1387,4111.91,2025-04-17,Merchant_7 Shopping,UPI,Merchant_7,8299,Pending,Regular,58,Male,Shopping
1388,8348.66,2025-08-13,Merchant_26 Fuel,Credit Card,Merchant_26,4121,Posted,One-time,21,Female,Fuel
1389,18243.65,2025-09-22,Merchant_80 Transport,Credit Card,Merchant_80,4121,Pending,One-time,72,Male,Transport
1390,10647.09,2025-01-26,Merchant_79 Transport,Credit Card,Merchant_79,7832,Pending,Recurring,73,Female,Transport
1391,3713.87,2024-11-06,Merchant_85 Subscription,UPI,Merchant_85,5411,Pending,Regular,26,Male,Subscription
1392,451.14,2025-07-13,Merchant_31 Shopping,NEFT,Merchant_31,7997,Posted,Recurring,61,Male,Shopping
1393,10660.75,2024-10-21,Merchant_86 Dining,Debit Card,Merchant_86,4814,Posted,Regular,37,Female,Dining
1394,2363.13,2024-10-29,Merchant_19 Shopping,Debit Card,Merchant_19,5947,Pending,Recurring,51,Female,Shopping
1395,17321.18,2024-12-04,Merchant_41 Fuel,Auto-Debit,Merchant_41,5947,Pending,One-time,30,Male,Fuel
1396,1881.42,2024-12-23,Merchant_29 Insurance,Auto-Debit,Merchant_29,4814,Pending,One-time,43,Female,Insurance
1397,11965.02,2024-12-20,Merchant_56 Transport,Credit Card,Merchant_56,4784,Pending,Regular,74,Female,Transport
1398,19046.26,2025-01-06,Merchant_34 Education,Auto-Debit,Merchant_34,5732,Pending,Recurring,48,Female,Education
1399,14551.56,2025-01-29,Merchant_67 Travel,Credit Card,Merchant_67,4121,Posted,Regular,18,Male,Travel
1400,7882.66,2025-10-15,Merchant_71 Rent,Credit Card,Merchant_71,7841,Pending,Recurring,37,Male,Rent
1401,18078.54,2025-01-17,Merchant_12 Fuel,UPI,Merchant_12,6513,Pending,Regular,32,Male,Fuel
1402,15705.01,2025-10-08,Merchant_44 Utilities,Auto-Debit,Merchant_44,5732,Pending,Recurring,63,Female,Utilities
1403,16464.34,2024-11-23,Merchant_63 Education,Auto-Debit,Merchant_63,8299,Pending,Recurring,66,Female,Education
1404,4458.34,2025-04-19,Merchant_95 Dining,UPI,Merchant_95,4121,Posted,Recurring,39,Male,Dining
1405,19522.38,2025-02-04,Merchant_84 Shopping,Auto-Debit,Merchant_84,7841,Pending,Recurring,72,Male,Shopping
1406,16524.68,2024-11-15,Merchant_33 Insurance,Debit Card,Merchant_33,4121,Pending,Recurring,68,Male,Insurance
1407,6106.63,2025-08-28,Merchant_97 Rent,Auto-Debit,Merchant_97,7841,Pending,Recurring,33,Male,Rent
1408,16566.86,2025-07-19,Merchant_51 Entertainment,Debit Card,Merchant_51,4121,Posted,One-time,75,Male,Entertainment
1409,5038.79,2025-05-25,Merchant_54 Gifts,NEFT,Merchant_54,5947,Pending,One-time,37,Male,Gifts
1410,8840.64,2025-07-18,Merchant_33 Fuel,Credit Card,Merchant_33,4121,Pending,Recurring,19,Female,Fuel
1411,1243.79,2025-06-07,Merchant_95 Insurance,Auto-Debit,Merchant_95,6513,Pending,Regular,66,Male,Insurance
1412,15335.91,2025-07-17,Merchant_40 Insurance,Debit Card,Merchant_40,5732,Pending,One-time,61,Female,Insurance
1413,2175.03,2025-06-03,Merchant_85 Insurance,NEFT,Merchant_85,5541,Pending,One-time,18,Male,Insurance
1414,2145.39,2025-05-10,Merchant_94 Dining,UPI,Merchant_94,5812,Pending,Regular,66,Female,Dining
1415,18696.03,2025-05-29,Merchant_95 Transport,UPI,Merchant_95,5732,Posted,Recurring,45,Male,Transport
1416,7140.72,2025-04-28,Merchant_11 Fuel,Debit Card,Merchant_11,4121,Posted,Recurring,49,Male,Fuel
1417,4403.8,2025-10-07,Merchant_29 Entertainment,Auto-Debit,Merchant_29,8011,Posted,One-time,59,Male,Entertainment
1418,8264.52,2024-11-05,Merchant_100 Rent,Debit Card,Merchant_100,7841,Pending,One-time,40,Female,Rent
1419,736.14,2025-08-31,Merchant_3 Health & Fitness,UPI,Merchant_3,5411,Posted,One-time,75,Female,Health & Fitness
1420,11252.09,2025-08-19,Merchant_23 Dining,Auto-Debit,Merchant_23,7832,Pending,Recurring,72,Female,Dining
1421,12957.89,2025-10-17,Merchant_95 Entertainment,Auto-Debit,Merchant_95,7997,Pending,Recurring,66,Female,Entertainment
1422,17010.71,2025-01-11,Merchant_2 Groceries,Credit Card,Merchant_2,7841,Pending,One-time,59,Male,Groceries
1423,1427.31,2024-12-19,Merchant_66 Fuel,UPI,Merchant_66,5812,Posted,One-time,44,Male,Fuel
1424,12675.69,2025-08-21,Merchant_12 Insurance,Auto-Debit,Merchant_12,8299,Posted,One-time,59,Female,Insurance
1425,14723.36,2025-04-18,Merchant_48 Fuel,Debit Card,Merchant_48,6513,Posted,Regular,72,Female,Fuel
1426,15110.9,2024-12-04,Merchant_8 Insurance,Credit Card,Merchant_8,5541,Posted,Recurring,23,Female,Insurance
1427,4772.02,2025-01-11,Merchant_68 Entertainment,UPI,Merchant_68,4814,Pending,Recurring,50,Female,Entertainment
1428,10081.59,2025-07-05,Merchant_54 Utilities,UPI,Merchant_54,5732,Posted,Recurring,56,Female,Utilities
1429,934.07,2025-03-28,Merchant_40 Fuel,UPI,Merchant_40,5732,Pending,Regular,53,Male,Fuel
1430,7118.16,2025-06-26,Merchant_12 Transport,UPI,Merchant_12,6311,Posted,One-time,28,Female,Transport
1431,4875.2,2025-03-08,Merchant_51 Transport,Credit Card,Merchant_51,6311,Posted,Recurring,22,Female,Transport
1432,3197.06,2025-09-30,Merchant_6 Education,Credit Card,Merchant_6,5411,Posted,Recurring,70,Female,Education
1433,10210.66,2024-12-16,Merchant_12 Gifts,Debit Card,Merchant_12,5947,Pending,Regular,38,Female,Gifts
1434,3761.35,2025-09-11,Merchant_52 Travel,NEFT,Merchant_52,4814,Pending,Regular,31,Female,Travel
1435,6776.48,2025-07-18,Merchant_40 Subscription,Auto-Debit,Merchant_40,6513,Pending,Recurring,25,Female,Subscription
1436,11396.05,2025-03-04,Merchant_72 Education,Debit Card,Merchant_72,4784,Posted,One-time,48,Female,Education
1437,19489.05,2025-06-02,Merchant_81 Shopping,Debit Card,Merchant_81,4784,Posted,Regular,52,Male,Shopping
1438,12456.22,2025-01-05,Merchant_80 Entertainment,Auto-Debit,Merchant_80,8011,Posted,One-time,61,Male,Entertainment
1439,9193.86,2025-06-29,Merchant_13 Groceries,NEFT,Merchant_13,5541,Posted,Recurring,27,Male,Groceries
1440,14320.63,2025-02-03,Merchant_80 Education,Debit Card,Merchant_80,4784,Pending,One-time,39,Female,Education
1441,8570.09,2025-10-19,Merchant_74 Travel,Credit Card,Merchant_74,7841,Pending,Recurring,70,Male,Travel
1442,1349.18,2024-10-24,Merchant_51 Insurance,Debit Card,Merchant_51,6513,Pending,Recurring,62,Male,Insurance
1443,18736.1,2025-05-08,Merchant_40 Subscription,NEFT,Merchant_40,8299,Posted,Regular,49,Male,Subscription
1444,16253.86,2025-05-22,Merchant_12 Shopping,Debit Card,Merchant_12,5812,Pending,One-time,74,Female,Shopping
1445,8773.85,2024-12-31,Merchant_89 Rent,Debit Card,Merchant_89,7841,Pending,One-time,57,Male,Rent
1446,5238.46,2025-08-10,Merchant_41 Medical,NEFT,Merchant_41,8299,Pending,One-time,64,Female,Medical
1447,18461.82,2025-07-06,Merchant_33 Insurance,NEFT,Merchant_33,5541,Posted,One-time,18,Male,Insurance
1448,5342.08,2025-01-11,Merchant_31 Rent,NEFT,Merchant_31,6311,Posted,Regular,19,Female,Rent
1449,16961.8,2025-07-29,Merchant_42 Transport,Auto-Debit,Merchant_42,7841,Pending,Recurring,62,Male,Transport
1450,5945.49,2024-10-19,Merchant_10 Subscription,Credit Card,Merchant_10,7997,Pending,Recurring,39,Male,Subscription
1451,1810.84,2025-04-08,Merchant_65 Travel,Debit Card,Merchant_65,5732,Pending,Regular,26,Male,Travel
1452,14788.62,2025-10-07,Merchant_69 Fuel,Debit Card,Merchant_69,4121,Pending,One-time,40,Female,Fuel
1453,8336.91,2025-06-22,Merchant_21 Transport,Credit Card,Merchant_21,6311,Posted,Regular,74,Female,Transport
1454,5952.21,2025-03-15,Merchant_95 Education,UPI,Merchant_95,4784,Pending,Recurring,24,Female,Education
1455,13779.34,2025-08-19,Merchant_29 Utilities,UPI,Merchant_29,4121,Posted,One-time,32,Male,Utilities
1456,9468.47,2025-02-04,Merchant_88 Gifts,Credit Card,Merchant_88,4814,Pending,Regular,48,Male,Gifts
1457,15320.05,2025-04-14,Merchant_6 Gifts,Auto-Debit,Merchant_6,5541,Pending,One-time,22,Female,Gifts
1458,14804.84,2025-02-27,Merchant_60 Utilities,Debit Card,Merchant_60,4814,Pending,Recurring,71,Female,Utilities
1459,4472.14,2025-07-23,Merchant_14 Health & Fitness,Auto-Debit,Merchant_14,5541,Pending,Regular,50,Female,Health & Fitness
1460,11538.49,2025-04-19,Merchant_38 Medical,UPI,Merchant_38,7841,Pending,Regular,63,Male,Medical
1461,16915.8,2025-10-11,Merchant_32 Groceries,Debit Card,Merchant_32,5947,Posted,Recurring,56,Female,Groceries
1462,7347.88,2025-09-08,Merchant_82 Groceries,NEFT,Merchant_82,4784,Posted,One-time,72,Female,Groceries
1463,886.32,2024-12-07,Merchant_81 Entertainment,UPI,Merchant_81,4814,Posted,Recurring,37,Female,Entertainment
1464,6291.71,2025-05-29,Merchant_68 Fuel,Auto-Debit,Merchant_68,8299,Posted,One-time,37,Female,Fuel
1465,13272.55,2025-02-05,Merchant_47 Entertainment,Auto-Debit,Merchant_47,5732,Pending,One-time,54,Male,Entertainment
1466,734.71,2025-05-30,Merchant_20 Fuel,Credit Card,Merchant_20,4814,Pending,Recurring,69,Male,Fuel
1467,3657.85,2025-06-12,Merchant_50 Gifts,Debit Card,Merchant_50,4814,Posted,One-time,20,Female,Gifts
1468,18978.51,2025-01-28,Merchant_17 Health & Fitness,NEFT,Merchant_17,5541,Pending,Regular,38,Female,Health & Fitness
1469,1785.96,2024-10-23,Merchant_44 Fuel,UPI,Merchant_44,7832,Pending,Recurring,67,Male,Fuel
1470,2418.16,2025-09-14,Merchant_96 Fuel,UPI,Merchant_96,7832,Pending,One-time,65,Male,Fuel
1471,10900.08,2024-12-13,Merchant_17 Dining,Debit Card,Merchant_17,7841,Pending,One-time,74,Male,Dining
1472,9124.35,2025-03-03,Merchant_60 Health & Fitness,NEFT,Merchant_60,8299,Pending,Recurring,72,Male,Health & Fitness
1473,5541.27,2024-11-14,Merchant_87 Groceries,Auto-Debit,Merchant_87,4121,Pending,One-time,55,Male,Groceries
1474,18919.91,2025-08-14,Merchant_34 Gifts,UPI,Merchant_34,7997,Posted,Regular,44,Female,Gifts
1475,15170.7,2025-07-15,Merchant_83 Health & Fitness,NEFT,Merchant_83,7997,Posted,One-time,24,Female,Health & Fitness
1476,864.76,2024-11-23,Merchant_5 Groceries,UPI,Merchant_5,7997,Posted,Regular,40,Female,Groceries
1477,16777.62,2025-01-09,Merchant_68 Gifts,Credit Card,Merchant_68,5411,Posted,One-time,19,Female,Gifts
1478,1548.91,2025-02-26,Merchant_50 Rent,Debit Card,Merchant_50,6311,Posted,One-time,31,Female,Rent
1479,120.37,2025-02-03,Merchant_66 Utilities,UPI,Merchant_66,5947,Posted,Recurring,19,Female,Utilities
1480,11986.4,2024-11-18,Merchant_36 Fuel,NEFT,Merchant_36,4814,Posted,Recurring,51,Female,Fuel
1481,7241.19,2025-03-14,Merchant_73 Groceries,Auto-Debit,Merchant_73,6513,Posted,One-time,65,Female,Groceries
1482,6807.46,2025-08-17,Merchant_65 Insurance,Credit Card,Merchant_65,7841,Posted,One-time,55,Male,Insurance
1483,8198.27,2025-07-03,Merchant_72 Shopping,Debit Card,Merchant_72,5732,Pending,One-time,63,Female,Shopping
1484,15887.34,2025-09-25,Merchant_97 Medical,Auto-Debit,Merchant_97,5541,Posted,One-time,68,Female,Medical
1485,15687.44,2025-04-01,Merchant_72 Travel,Credit Card,Merchant_72,7832,Posted,Recurring,69,Female,Travel
1486,14544.41,2025-07-31,Merchant_80 Insurance,UPI,Merchant_80,5947,Posted,Recurring,71,Female,Insurance
1487,15391.13,2025-03-27,Merchant_20 Gifts,UPI,Merchant_20,5732,Pending,Recurring,32,Female,Gifts
1488,6402.61,2025-10-15,Merchant_21 Medical,Debit Card,Merchant_21,5732,Posted,Recurring,57,Female,Medical
1489,16345.27,2025-08-08,Merchant_29 Medical,UPI,Merchant_29,4814,Posted,Recurring,35,Female,Medical
1490,10461.26,2025-09-14,Merchant_72 Transport,Auto-Debit,Merchant_72,8299,Pending,One-time,55,Female,Transport
1491,3420.18,2025-09-16,Merchant_28 Fuel,Auto-Debit,Merchant_28,5411,Posted,Regular,67,Female,Fuel
1492,19064.02,2025-05-11,Merchant_22 Education,Credit Card,Merchant_22,7832,Pending,One-time,50,Female,Education
1493,4951.25,2025-02-09,Merchant_76 Insurance,UPI,Merchant_76,6311,Posted,Regular,39,Male,Insurance
1494,18112.13,2025-09-22,Merchant_6 Dining,Auto-Debit,Merchant_6,4814,Pending,One-time,49,Male,Dining
1495,1144.57,2025-06-24,Merchant_33 Travel,UPI,Merchant_33,6513,Pending,Regular,34,Male,Travel
1496,11588.15,2025-05-17,Merchant_73 Utilities,Credit Card,Merchant_73,5541,Posted,One-time,39,Male,Utilities
1497,2708.31,2024-12-28,Merchant_13 Subscription,NEFT,Merchant_13,6311,Posted,Regular,67,Male,Subscription
1498,14748.1,2025-02-01,Merchant_91 Rent,UPI,Merchant_91,5732,Pending,One-time,40,Female,Rent
1499,10981.14,2025-10-16,Merchant_92 Fuel,Debit Card,Merchant_92,8011,Pending,One-time,39,Female,Fuel
1500,9000.18,2025-01-28,Merchant_23 Shopping,NEFT,Merchant_23,5732,Pending,Regular,67,Female,Shopping
1501,7727.04,2025-01-08,Merchant_98 Shopping,Auto-Debit,Merchant_98,6513,Posted,One-time,41,Male,Shopping
1502,17089.34,2024-11-28,Merchant_19 Medical,Debit Card,Merchant_19,6513,Pending,Regular,52,Female,Medical
1503,643.4,2024-12-30,Merchant_79 Groceries,Credit Card,Merchant_79,4784,Posted,Recurring,24,Female,Groceries
1504,6708.97,2025-03-13,Merchant_49 Education,Credit Card,Merchant_49,7841,Pending,Recurring,32,Female,Education
1505,11585.19,2025-10-07,Merchant_92 Utilities,Debit Card,Merchant_92,5812,Posted,Regular,60,Male,Utilities
1506,11078.32,2024-12-05,Merchant_10 Fuel,Debit Card,Merchant_10,5541,Posted,One-time,25,Female,Fuel
1507,13148.31,2025-02-27,Merchant_26 Utilities,Auto-Debit,Merchant_26,8011,Pending,One-time,54,Female,Utilities
1508,9948.91,2025-07-11,Merchant_7 Rent,UPI,Merchant_7,4121,Posted,One-time,30,Male,Rent
1509,9751.13,2025-10-09,Merchant_61 Education,NEFT,Merchant_61,4814,Pending,One-time,55,Female,Education
1510,18367.83,2025-10-17,Merchant_43 Shopping,NEFT,Merchant_43,4784,Pending,Recurring,71,Female,Shopping
1511,11781.25,2025-10-01,Merchant_83 Groceries,UPI,Merchant_83,7832,Pending,One-time,69,Female,Groceries
1512,1310.46,2025-07-07,Merchant_95 Subscription,Debit Card,Merchant_95,8011,Posted,One-time,58,Male,Subscription
1513,13982.22,2025-09-29,Merchant_47 Education,Credit Card,Merchant_47,4121,Pending,Recurring,28,Female,Education
1514,2068.24,2025-01-29,Merchant_58 Education,Auto-Debit,Merchant_58,8011,Pending,One-time,72,Male,Education
1515,15948.91,2024-11-07,Merchant_13 Insurance,NEFT,Merchant_13,5947,Posted,Regular,26,Female,Insurance
1516,5597.15,2025-05-31,Merchant_36 Insurance,Auto-Debit,Merchant_36,7997,Pending,Regular,43,Female,Insurance
1517,8036.39,2025-06-02,Merchant_31 Utilities,Credit Card,Merchant_31,5947,Posted,Recurring,54,Male,Utilities
1518,4562.72,2025-07-09,Merchant_66 Shopping,Credit Card,Merchant_66,7997,Pending,One-time,22,Male,Shopping
1519,8861.37,2025-06-09,Merchant_95 Education,Credit Card,Merchant_95,7997,Pending,One-time,37,Female,Education
1520,2171.75,2025-09-13,Merchant_57 Medical,UPI,Merchant_57,7832,Posted,Regular,52,Female,Medical
1521,13972.89,2025-06-18,Merchant_86 Utilities,Auto-Debit,Merchant_86,5732,Posted,Regular,38,Female,Utilities
1522,7593.61,2025-01-24,Merchant_30 Shopping,Credit Card,Merchant_30,7832,Posted,Recurring,29,Female,Shopping
1523,1282.04,2025-05-25,Merchant_41 Shopping,UPI,Merchant_41,6311,Pending,Regular,44,Male,Shopping
1524,14073.96,2025-02-05,Merchant_60 Groceries,Debit Card,Merchant_60,5411,Pending,Regular,44,Female,Groceries
1525,12186.44,2024-11-03,Merchant_41 Rent,Debit Card,Merchant_41,7841,Posted,One-time,68,Male,Rent
1526,17519.86,2025-08-29,Merchant_62 Rent,Auto-Debit,Merchant_62,5947,Pending,One-time,44,Female,Rent
1527,14091.3,2025-04-19,Merchant_55 Education,Credit Card,Merchant_55,7832,Posted,Regular,45,Male,Education
